source,target,weight
2,11745,1
6,12020,1
7,9686,9
8,11319,2
11,4218,1
11,6908,1
12,12954,1
15,10616,1
17,12396,1
19,14546,2
21,11409,1
21,10123,1
24,10372,1
27,13273,1
29,11992,2
39,11443,1
41,10860,2
47,10910,3
53,8539,1
55,12584,1
59,12091,1
61,8134,1
65,13829,1
72,845,1
81,10627,1
82,12477,2
85,12443,2
90,12728,5
91,9088,1
97,12755,1
108,13286,1
110,10075,1
112,10394,1
113,12217,5
113,11421,2
114,9834,1
115,3074,1
116,9512,1
116,12657,4
123,13188,1
129,8334,2
132,9828,1
145,10006,1
146,13091,1
149,10577,1
150,8003,1
152,13126,1
156,12351,6
163,10882,1
164,10306,1
172,7933,1
175,14952,1
179,10222,1
183,7707,1
183,12001,1
185,13346,1
187,7865,2
188,10269,1
190,7295,1
195,10858,2
197,11255,1
199,8774,1
200,10704,1
201,2546,1
207,7764,1
216,12184,1
220,14361,8
221,10728,1
223,1691,1
225,3048,4
232,401,2
235,10416,2
236,11788,1
237,13536,1
238,8761,1
249,13938,3
251,12793,1
255,9408,1
259,8230,1
265,12101,5
266,11537,1
272,8307,5
277,11794,2
278,13432,2
278,14075,2
283,12708,2
287,7765,1
289,10859,1
291,8141,1
292,1026,1
296,5327,1
297,14403,1
298,12285,5
302,12507,1
310,7586,1
310,14435,1
312,9407,1
315,7913,2
318,10969,2
319,3478,1
321,9418,5
325,13594,1
326,7642,1
326,12151,1
332,13460,2
333,812,1
335,8280,1
336,10459,1
337,12573,1
341,2060,1
347,11527,2
357,13875,1
358,10472,1
365,7563,1
367,8632,4
373,11678,2
375,12803,5
378,13020,1
379,13627,4
382,12198,1
383,13941,3
386,12105,1
386,10129,1
388,13835,1
389,7963,1
390,13221,1
406,10920,1
407,8176,1
409,5280,1
414,14759,2
418,13504,1
424,11720,2
431,13951,1
432,12646,1
434,12579,1
435,9422,3
436,9354,2
437,7834,2
442,10207,2
443,8957,2
444,11447,1
446,2524,1
450,14101,1
453,11305,6
454,11955,3
456,5444,1
459,14554,1
461,13702,1
465,10599,1
466,13283,1
470,7831,1
471,8521,1
472,8637,2
473,7829,1
475,10273,4
476,14073,1
477,12830,7
479,11763,7
480,11093,1
481,9162,2
482,14878,1
482,10911,1
486,12197,1
487,7645,1
488,8199,1
495,14725,1
498,14073,2
499,13410,3
504,7613,1
509,11266,1
514,10073,2
515,11687,1
518,13562,1
520,6648,1
531,9979,2
537,14690,1
545,11996,1
546,14828,1
550,11958,1
553,1418,1
562,14686,1
563,8597,1
565,14163,1
570,12698,1
574,12910,1
577,13514,2
578,14227,2
580,10330,1
580,9345,1
582,8329,2
585,12916,1
594,14615,1
604,6059,2
606,13737,1
609,12599,1
612,4656,1
617,8199,3
622,3377,1
623,12880,1
628,11984,2
633,13318,2
636,9337,1
638,10623,5
641,11672,1
644,10505,1
646,13955,1
649,8774,1
656,11269,1
657,10033,4
660,14032,1
666,10719,1
673,11648,2
677,13057,1
679,7589,1
681,8715,1
685,14567,2
685,14082,1
686,14742,1
689,12916,1
693,11740,1
696,12261,1
697,13703,1
703,14664,2
707,8367,1
708,8334,2
715,7840,1
716,9595,1
720,9555,1
721,10966,1
724,8284,2
727,11339,1
729,13337,1
730,10646,1
734,13518,2
736,13162,1
738,14174,2
739,14424,1
740,11777,1
741,8532,1
742,4085,1
745,13094,1
748,8570,3
752,8610,1
753,13813,3
755,11877,1
758,8321,1
765,9909,1
771,8674,2
773,12674,2
775,3596,1
783,10474,1
787,13974,2
788,7630,1
790,9295,2
794,11012,1
795,11765,2
796,14249,1
797,13445,2
799,8327,2
802,5022,2
811,7591,1
817,10367,1
818,9393,2
826,12015,1
827,11354,1
829,7849,1
831,14355,2
831,10301,1
831,8045,1
832,9728,1
839,14458,1
844,9837,2
846,14384,2
851,8531,1
856,13476,4
863,9860,1
866,13942,2
867,10159,1
867,7693,1
877,14342,1
880,10104,3
881,8818,1
888,10738,1
890,7950,1
892,13193,1
895,2460,1
898,8625,2
900,9249,1
902,11484,1
908,12127,1
908,8958,1
910,14189,1
916,11724,1
918,14284,2
929,10309,1
940,8926,1
942,14179,1
945,13349,1
947,11034,1
949,13907,1
951,8738,4
951,9212,1
953,9966,1
959,13918,1
961,12193,1
968,9426,1
968,13405,1
971,9165,1
975,14258,1
977,11340,1
984,12646,1
989,12674,1
990,11243,1
992,9684,2
994,3714,1
996,10833,1
1003,8896,3
1008,11724,1
1012,10544,1
1015,13322,1
1027,14915,1
1028,11060,1
1031,8925,1
1033,4980,1
1036,13994,1
1039,13903,1
1041,11575,1
1044,12778,2
1048,14944,4
1053,10011,2
1057,8920,1
1057,8141,1
1058,12171,1
1064,8523,1
1072,12943,2
1074,12058,1
1074,8258,1
1074,12703,1
1077,7706,1
1085,10528,1
1087,10950,1
1089,12752,2
1089,7588,2
1089,10247,2
1090,13227,3
1093,12479,2
1107,7731,1
1107,11130,2
1110,13735,1
1113,5263,1
1123,9221,1
1124,14891,2
1127,13470,1
1131,7839,1
1133,12184,1
1133,11869,1
1134,5974,2
1136,14863,1
1143,14333,4
1144,12277,1
1150,11218,2
1153,8550,1
1156,7714,2
1157,14715,1
1157,14412,2
1157,7787,1
1157,12999,1
1159,13952,1
1161,8874,1
1162,13226,1
1163,11900,1
1165,11106,1
1165,10620,1
1166,7570,1
1169,11371,1
1170,12572,2
1172,8674,1
1175,11632,1
1180,11665,1
1184,12285,1
1186,12651,1
1187,4943,1
1190,11581,2
1192,11200,1
1195,8700,4
1197,14587,2
1226,13018,3
1227,13750,1
1235,8213,1
1239,14005,1
1240,6594,1
1246,11538,2
1251,10903,1
1254,9263,2
1258,8181,1
1259,7377,1
1260,12615,2
1261,12548,3
1269,13382,1
1269,7932,4
1270,3760,1
1273,9822,2
1274,11620,1
1281,8243,1
1287,10063,1
1288,11734,1
1289,8214,1
1293,9744,2
1297,10766,1
1297,7705,1
1298,10462,1
1301,12759,1
1303,14549,1
1304,9245,1
1312,10814,1
1318,12663,1
1319,8394,1
1320,13196,1
1322,14627,1
1324,10276,1
1332,9612,2
1335,11360,1
1341,7720,1
1343,10321,5
1343,7948,2
1345,12788,1
1347,13854,1
1347,10937,3
1348,9738,1
1349,14038,1
1356,11215,1
1357,11696,1
1362,12767,1
1363,8123,1
1366,9535,1
1366,12389,1
1369,12655,2
1371,2073,1
1373,11002,1
1377,5728,2
1378,14747,1
1382,8762,1
1391,8600,1
1400,13958,1
1404,11710,2
1407,14170,1
1417,11517,1
1437,13951,1
1438,1949,3
1444,9878,1
1445,9844,1
1448,12459,1
1451,9909,1
1452,4284,1
1454,7504,1
1457,9571,3
1470,4623,1
1471,13631,1
1478,12331,1
1481,13661,1
1482,10803,1
1486,3649,1
1487,10323,3
1492,13902,1
1494,9893,1
1498,12316,1
1499,12871,1
1501,5993,1
1502,9410,1
1504,11225,1
1506,7644,1
1507,11366,2
1516,12109,1
1518,9417,1
1524,13020,1
1527,11726,1
1528,11457,2
1528,11080,1
1534,10760,1
1539,10840,1
1543,14252,1
1545,13380,1
1548,12977,1
1552,12474,1
1552,13440,1
1553,8605,1
1561,9322,3
1562,6034,2
1565,11457,1
1567,14169,1
1570,11903,1
1571,14580,1
1574,14297,1
1574,11558,1
1579,11394,5
1585,5771,1
1589,11211,2
1597,12203,1
1602,10506,1
1602,8290,6
1603,14016,1
1606,3204,1
1606,2891,1
1608,10805,3
1612,10602,1
1613,14938,3
1628,13758,1
1635,9266,3
1641,8766,1
1642,13440,1
1642,11691,1
1645,11122,1
1653,11081,2
1655,7928,1
1657,10409,1
1657,13087,1
1658,13817,3
1663,14213,1
1675,4923,1
1676,14711,1
1681,14418,1
1683,7688,2
1692,12279,1
1693,10919,2
1694,14465,8
1698,4906,1
1702,14320,5
1710,14935,2
1712,5725,1
1714,14605,1
1723,14312,1
1728,12350,1
1728,14294,1
1732,11325,1
1736,4546,1
1737,9854,1
1741,7608,1
1744,9051,1
1748,12872,1
1755,13228,1
1756,14702,1
1764,9042,2
1767,14596,1
1772,10868,2
1774,14233,1
1776,9641,1
1779,12699,1
1782,10567,2
1784,9753,1
1786,10943,4
1791,11768,1
1793,13955,2
1794,4785,1
1796,10461,4
