source,target,weight
3,9733,1
7,9686,1
10,8410,1
12,12954,2
15,10616,2
17,7562,1
18,12083,1
21,13335,1
21,10123,1
25,10536,2
33,13485,1
39,11443,1
41,10860,3
43,12023,2
47,10910,1
51,11119,3
56,9546,1
58,12136,9
70,9023,1
70,12408,1
73,10393,1
77,8852,3
82,14337,1
83,11307,1
85,12443,1
89,13271,1
90,12728,2
92,12586,1
94,11879,1
95,11562,1
97,11905,2
100,5494,1
105,12852,1
113,12217,1
113,8677,1
115,9026,1
115,1949,1
115,3074,1
116,9997,1
116,12657,1
118,8415,1
121,7802,8
130,12583,1
138,9422,1
146,13091,8
149,14189,2
150,8003,1
150,8281,2
151,5918,1
153,14295,1
160,13860,2
176,13229,1
187,7865,1
187,9844,1
194,9786,1
195,10858,1
196,13469,1
199,8774,2
201,2546,2
203,8721,1
205,13081,1
208,10532,1
209,14169,2
209,14941,1
214,9836,1
220,14361,1
227,8253,1
237,13536,2
239,8103,1
239,8374,1
240,9313,1
245,3444,1
248,8796,1
249,13938,1
251,13096,1
251,12793,1
253,8892,1
256,10502,1
261,13454,1
268,13509,1
270,12242,3
271,14205,1
273,8690,5
275,7782,1
279,13119,1
282,13552,1
284,8668,1
287,7765,1
292,1026,1
293,12150,1
294,10831,1
297,14403,2
311,7727,1
312,9407,1
314,8820,1
315,7913,1
316,11101,1
318,10969,8
319,3478,1
321,9418,1
322,12994,1
324,9467,2
324,10137,1
326,12151,1
330,13347,1
332,13460,4
333,812,1
337,12573,3
343,8113,4
346,6118,1
350,14607,2
353,9303,2
357,13875,1
357,13051,1
358,8675,2
360,4162,1
367,8632,1
370,10193,1
374,9335,3
375,12803,1
377,8923,1
378,14868,1
379,13627,1
381,3510,1
391,12999,1
397,10230,2
399,7992,1
403,8565,1
403,14930,1
409,6506,2
418,13504,1
420,8051,1
421,8364,1
426,7861,1
429,9478,3
431,13951,2
435,9422,1
442,10207,2
447,8713,1
448,8836,1
450,12681,1
454,11955,1
455,9654,1
456,5444,1
459,13786,1
461,9492,1
461,11651,1
464,10686,2
472,8637,1
479,11763,6
483,10277,1
483,14856,2
486,12197,1
487,7645,1
488,8619,1
494,13551,1
495,14725,1
497,8697,1
501,2217,1
505,7895,1
506,11250,2
514,10073,3
522,10556,1
525,14852,1
529,13888,2
531,9979,1
534,8235,1
539,13840,1
545,14245,1
549,9763,1
555,13065,1
560,10308,1
562,14686,2
563,8597,1
564,8473,1
567,13787,1
568,14913,2
570,12698,1
571,13831,1
571,10818,2
571,13895,2
578,14227,1
581,10377,1
582,8329,1
583,8147,1
585,9285,1
589,14794,1
595,8084,1
599,12687,1
601,14691,1
609,12599,1
614,12307,1
616,8684,1
617,14083,5
621,9094,1
630,1477,1
632,9891,1
633,13318,2
638,10623,1
639,13356,3
640,7634,2
644,10505,1
649,8774,1
650,9086,1
654,913,1
659,8685,1
660,14032,3
663,14479,1
665,8739,2
675,8468,2
683,11616,1
688,13903,2
693,14872,1
695,8714,2
696,12261,3
698,12311,1
698,9026,1
708,8334,1
714,14381,1
720,12180,1
720,9555,2
726,9517,2
727,12087,1
729,12620,1
735,11009,1
736,13162,1
744,10590,1
746,12343,1
747,10813,1
748,8570,2
750,13310,1
756,12427,2
761,9940,2
765,12303,1
766,11832,1
767,7788,1
771,8674,1
773,12674,1
776,13419,1
777,10503,1
780,14908,1
783,10474,1
788,7630,1
801,12749,4
805,11641,1
806,14928,2
818,9017,1
821,11134,1
825,13351,1
827,11354,1
831,11563,1
836,8530,1
852,6587,1
852,9468,1
862,13878,1
865,1496,1
866,10786,1
866,13942,1
867,10159,2
867,7693,1
868,8929,1
877,8025,2
880,10104,1
882,5569,2
883,14036,1
885,11970,3
888,8704,1
890,7950,1
898,13298,1
900,9249,1
920,12452,1
921,7523,1
923,10221,1
925,9599,2
935,11970,7
939,13159,1
941,13696,5
942,14179,1
942,9554,1
943,11237,2
949,13907,2
951,9212,1
952,8387,1
957,10730,1
961,12193,1
970,13982,1
975,14258,3
977,11340,2
983,9596,1
986,9115,1
991,9095,1
993,12063,1
996,12484,2
1009,9596,1
1014,11261,1
1014,10157,1
1018,8245,1
1019,10204,1
1020,2300,1
1023,12385,1
1027,14915,3
1028,11586,1
1029,11066,1
1030,11495,1
1032,10517,1
1041,13296,2
1041,12440,1
1044,12778,1
1048,9834,1
1050,14993,1
1055,8156,1
1055,11942,2
1056,2714,1
1062,14708,1
1066,7644,1
1071,12858,4
1074,10765,1
1078,10217,5
1084,6981,2
1085,13097,1
1085,10528,1
1089,7549,1
1093,12479,3
1094,12084,1
1096,9697,3
1097,14403,1
1099,11803,2
1106,12305,1
1107,14849,2
1114,1843,1
1116,9251,2
1116,7668,1
1116,12659,1
1123,14792,1
1127,13470,2
1128,11233,1
1137,14972,1
1138,13884,1
1143,14333,1
1146,10297,1
1147,12222,1
1148,9591,1
1148,14576,1
1152,13972,1
1156,10371,1
1157,14412,5
1158,14768,2
1162,8847,2
1167,8088,4
1168,12869,1
1170,12572,1
1172,8674,1
1174,9098,1
1174,12733,1
1182,11513,1
1183,13364,1
1184,12285,1
1184,8740,1
1189,11942,1
1190,11581,1
1198,8016,1
1204,12509,1
1204,13683,1
1207,10046,2
1211,11037,3
1215,11203,3
1219,14866,6
1227,13750,1
1230,13720,3
1231,13700,1
1233,10498,1
1237,10017,1
1239,14005,3
1241,12694,1
1242,12859,1
1245,9165,1
1255,10327,1
1256,13542,1
1259,3469,1
1261,12548,1
1262,14783,1
1266,12959,1
1269,10711,1
1272,14208,1
1276,8817,1
1278,8786,2
1281,10570,1
1282,13540,1
1283,13926,1
1286,8173,1
1288,9234,1
1288,8621,1
1293,9744,3
1294,14154,1
1297,10766,2
1297,8783,1
1301,12759,1
1303,8034,1
1308,12749,1
1312,13773,1
1315,13331,1
1316,13640,1
1319,8394,1
1321,10884,1
1321,7783,3
1321,8165,1
1329,11896,1
1332,10934,1
1333,3747,1
1335,3864,1
1347,13854,1
1347,10937,1
1349,14038,5
1354,10309,1
1356,11215,2
1361,7792,2
1366,12648,2
1369,12655,1
1371,2147,1
1380,10562,1
1382,8762,2
1389,13068,1
1395,14901,1
1398,10455,1
1400,13958,1
1403,7538,1
1405,10949,1
1407,14170,1
1408,13339,1
1410,13734,1
1414,8024,2
1416,8879,1
1428,11540,2
1444,9878,1
1452,13014,1
1453,1851,1
1454,7504,7
1456,8562,1
1457,9571,1
1461,14657,1
1466,9483,1
1467,14323,1
1476,11833,1
1478,12331,1
1482,13471,1
1485,12696,1
1489,12779,1
1489,8882,2
1498,12316,2
1499,12871,3
1503,12759,1
1506,8980,1
1519,8130,1
1520,12394,1
1525,11560,2
1528,11457,2
1529,12105,2
1530,11413,1
1531,7726,5
1537,13270,1
1539,12738,1
1542,11227,1
1548,12977,1
1551,8910,1
1552,13440,1
1553,13403,1
1555,14320,1
1557,14535,1
1560,2286,1
1562,2643,2
1564,14925,2
1567,14169,4
1569,13853,1
1571,14580,4
1573,11844,1
1574,9317,3
1579,11394,3
1579,14978,2
1584,13481,2
1584,14267,1
1585,2310,1
1587,14679,1
1591,9633,1
1592,5363,1
1593,8361,1
1597,12203,1
1601,7621,2
1603,9981,2
1607,10413,2
1612,10602,1
1613,14938,1
1614,8335,1
1616,11125,1
1617,14750,4
1624,9163,3
1626,7678,3
1627,13879,1
1634,4331,1
1635,9266,1
1641,8766,9
1642,13440,1
1643,12916,1
1649,8149,1
1649,8737,1
1651,13753,1
1652,12252,1
1657,11367,1
1658,13817,3
1674,7513,1
1674,13353,2
1676,14711,2
1680,14150,3
1685,13068,1
1688,9103,1
1689,7877,2
1690,11088,2
1703,14884,1
1704,10806,1
1706,9619,1
1714,14605,1
1718,14065,1
1719,12475,1
1734,12848,1
1735,8094,1
1735,13042,2
1736,4546,1
1737,9854,1
1740,8913,1
1744,9051,3
1747,11565,1
1754,11091,1
1763,14704,1
1764,12519,2
1764,9042,1
1769,12019,1
1772,10868,2
1773,4748,2
1777,12469,1
1778,12382,1
1780,8612,1
1781,12269,1
1789,10041,1
1791,11768,1
1793,13955,2
1806,8289,1
1809,11956,5
1810,14877,2
1810,12709,1
1810,14731,2
1819,11063,1
1823,9082,1
1834,12350,1
1841,12975,2
1844,10353,4
1845,11794,2
1846,11704,1
1847,11220,2
1853,11209,1
1856,8673,1
1856,8091,1
1859,11689,1
1865,2800,1
1865,9402,1
1869,11162,1
1871,8231,1
1871,12976,1
1875,12099,1
1876,9024,1
1878,7554,2
1891,9890,1
1892,11612,1
1895,11566,1
1898,13531,2
1898,7657,1
1899,9927,1
1903,10649,1
1908,12720,1
1913,11051,1
1916,12198,1
1922,8219,1
1927,14272,3
1927,9917,2
1929,8015,1
1930,10206,1
1934,9242,2
1940,8665,1
1943,12176,1
1944,8629,1
1945,3619,1
1948,14522,5
1951,8751,1
1958,12565,2
1963,13583,1
1967,13810,1
1973,11604,2
1974,14846,1
1983,12037,2
1990,12384,9
1999,10476,1
2000,7532,1
2000,10333,1
2006,11077,1
2007,12978,1
2012,14808,3
2016,9530,1
2020,8828,1
2027,8928,1
2028,13780,3
2030,13550,1
2033,10008,1
2035,13360,1
2040,9224,1
2041,13899,1
2052,10147,4
