source,target,weight
3,9733,1
4,9040,1
6,12020,3
8,11319,1
9,9037,1
13,11589,1
14,7929,1
15,10616,1
16,14091,1
18,12083,1
19,14546,2
20,14356,2
21,13335,1
21,13452,2
26,12143,1
38,14088,4
39,11443,1
39,11933,1
41,10860,1
43,12023,2
45,13327,2
49,10810,4
51,11119,1
53,8539,1
55,12584,1
59,12091,1
70,9023,1
74,12444,1
97,12755,3
100,1705,1
108,11915,1
112,10394,3
114,9834,1
115,9026,1
115,1514,1
116,12657,1
120,12121,1
121,11078,1
125,8833,1
126,7590,2
130,12583,1
136,142,1
143,8787,1
149,14189,1
149,10577,1
153,14295,1
155,9788,1
159,13399,1
163,10882,4
166,12135,1
176,13229,1
182,7539,1
183,7707,1
185,13346,1
187,7865,2
187,9844,1
190,7295,1
192,12636,1
202,8535,1
204,9739,7
205,13081,1
207,7764,1
208,10532,2
220,8480,6
226,14466,2
229,7579,1
234,1949,1
235,10416,1
238,8761,1
241,13477,1
241,7598,1
245,14126,1
248,8796,1
257,7776,2
259,8230,1
261,13454,1
261,12035,1
263,8894,1
264,4781,1
268,13509,1
273,8690,2
278,1947,2
281,8084,1
282,11192,1
282,11131,1
285,11332,1
288,10594,1
289,10859,2
298,12285,1
310,9833,1
311,7727,1
314,8820,1
315,7913,3
317,13415,1
319,1374,1
325,13594,1
326,12151,1
332,13460,1
332,10815,1
334,12715,1
335,8280,1
337,12573,1
341,2060,1
342,9194,1
345,11525,1
346,6118,1
347,11527,1
348,14517,1
349,7606,1
363,9264,2
365,7563,1
366,9872,1
367,8632,1
377,8923,2
379,13627,1
380,12717,1
382,14984,1
383,13941,4
385,419,1
389,7963,2
390,13221,2
398,14989,1
403,14930,1
407,14772,1
409,6506,1
412,8912,1
414,11377,2
417,11076,1
418,13504,3
424,11720,2
426,7861,6
431,12789,1
434,12579,1
435,9422,1
437,12593,1
442,10207,1
442,8297,1
448,8836,1
452,11506,1
454,11955,1
456,5444,1
457,13095,1
458,8978,1
459,13786,3
465,11247,1
473,7829,5
475,10273,1
475,14998,4
477,12830,2
479,11763,1
480,11093,1
484,8932,2
486,12197,1
488,8619,1
494,13551,1
496,12378,1
497,8697,1
499,13410,1
501,2217,1
504,7613,2
505,7895,1
509,7875,1
509,13090,1
510,14702,1
511,10843,1
518,13562,1
520,6175,1
523,13350,1
524,13543,6
525,14852,1
530,12039,8
531,9979,1
534,8235,3
537,14690,1
539,13840,1
546,14828,1
555,13065,3
560,10308,2
563,8597,1
568,14913,1
571,13895,1
572,8504,4
579,14678,1
582,8329,1
591,11372,1
595,9538,1
601,14691,1
603,8937,3
617,14083,1
618,8117,1
619,12486,1
620,11872,1
623,14980,1
628,14716,1
628,11984,1
629,8503,6
631,11372,1
633,13318,1
634,11157,1
639,13356,2
641,11672,1
643,13934,1
646,13955,4
649,9625,1
657,10033,1
659,8685,2
663,14479,1
664,13697,2
677,13057,1
682,13311,1
683,11616,2
685,14968,1
695,8714,1
698,12311,1
700,9385,1
701,11680,1
708,8334,5
717,8786,1
719,1496,1
720,12180,1
721,10966,2
725,10469,1
726,8602,1
729,13337,1
735,11009,1
736,13162,2
739,14424,1
742,14193,8
747,12302,1
748,8570,2
749,8136,1
754,9387,1
758,8798,1
761,9940,1
767,7788,1
773,12674,1
776,13419,1
783,10474,1
788,9193,1
789,12916,1
791,13433,3
793,10615,1
795,11765,1
797,13445,2
798,10439,1
798,7795,1
800,7536,1
801,12749,3
818,9017,1
821,9256,1
822,9768,2
824,10254,7
827,11354,1
832,10892,1
839,14458,1
841,12766,2
846,11249,1
851,8531,1
852,13054,1
861,11809,2
863,9860,1
864,13120,1
865,1496,1
867,10159,1
871,13051,1
872,1522,1
878,11484,1
880,10104,1
882,5569,1
888,8704,1
890,7950,2
898,8227,1
900,10501,2
904,3828,1
905,10242,1
906,13293,1
910,14189,1
912,1453,3
922,12090,3
925,9599,2
926,12108,1
929,10309,1
930,14311,1
935,11970,1
940,8926,1
941,13696,4
942,9554,2
943,11237,1
946,8841,1
946,12241,1
947,13258,2
947,11034,5
949,13907,2
952,8387,1
954,3499,1
956,11957,1
959,13918,1
960,8352,1
961,12193,1
972,11668,1
975,14258,7
978,8610,1
982,12374,1
986,9115,3
988,9938,3
992,9684,1
994,5496,1
995,14318,3
1003,8896,1
1008,11724,1
1012,11018,1
1015,12804,1
1015,13322,1
1028,11060,2
1028,11586,4
1031,12665,1
1032,10517,1
1034,13637,1
1036,13994,1
1037,13052,1
1041,13361,1
1041,8394,1
1041,10376,1
1043,13640,5
1046,12699,1
1048,14944,1
1048,9834,1
1051,8071,1
1057,8920,1
1057,8141,2
1061,10005,1
1062,14708,2
1063,10252,1
1069,8880,1
1069,7542,2
1074,12058,1
1074,10765,2
1074,12703,1
1078,10217,1
1082,1334,1
1084,6981,1
1088,9847,1
1090,9231,1
1093,12479,1
1096,9697,1
1098,4442,2
1099,11803,1
1113,5263,1
1113,2754,1
1114,1843,2
1116,9251,1
1116,7668,3
1118,14302,1
1119,4759,1
1120,8859,1
1120,12955,1
1124,14891,1
1125,10212,1
1127,13470,2
1128,7730,1
1131,11960,1
1133,12184,2
1135,9238,1
1136,10696,4
1138,13884,1
1143,14333,3
1147,8011,1
1148,14576,3
1152,13972,1
1154,11239,1
1156,7714,1
1157,14715,1
1157,14412,1
1158,14768,2
1161,8874,1
1162,13226,2
1163,13222,1
1166,14009,2
1167,8088,3
1168,12869,1
1169,11371,1
1176,8204,1
1177,11597,1
1186,12651,1
1192,11200,1
1196,11874,1
1200,9538,1
1200,12888,1
1204,12594,1
1207,9075,2
1208,14654,1
1210,9487,1
1211,11037,2
1220,9795,1
1221,14044,1
1225,6322,1
1232,8062,1
1234,13698,2
1237,10017,1
1239,14005,1
1241,12694,4
1247,13521,1
1251,8916,2
