source,target,weight
2,11745,1
6,8706,4
7,9686,1
12,12954,1
13,11589,1
14,7929,1
14,10497,1
15,10616,1
19,14546,3
20,14356,1
21,13452,2
28,11689,1
34,14618,1
43,12023,2
46,9920,3
47,10910,1
51,11119,3
53,8539,2
55,12584,2
58,12136,2
59,12091,1
73,10393,1
74,12444,2
75,13169,1
82,12477,1
85,12443,1
96,9268,2
100,1705,1
106,9399,2
107,9639,2
112,10394,1
114,9834,1
116,9512,1
119,13223,1
120,12121,1
121,11078,1
126,7590,1
126,10911,1
147,14923,1
149,14189,1
152,13126,1
153,14295,2
157,14429,1
160,8109,1
163,10882,3
172,7933,3
181,1248,1
181,4785,2
186,11718,2
187,7865,3
195,10858,1
199,8774,1
202,8535,1
208,10532,1
208,12401,1
209,14941,2
216,12184,1
220,8480,1
226,14466,2
231,9178,1
237,13536,4
238,11559,1
241,13477,1
241,7598,1
244,13317,1
245,9097,1
245,14126,1
249,13938,1
255,9408,1
257,7776,1
263,8894,1
266,9678,1
273,8690,2
279,13351,1
281,8084,1
282,9403,1
282,10864,1
282,11131,1
283,12708,1
285,11332,2
287,7765,1
288,10594,1
289,10859,1
291,14942,1
291,10077,2
297,14403,2
298,12285,2
302,8487,1
302,7940,1
305,8295,1
308,9588,1
311,7727,1
314,8820,2
321,9418,4
325,13594,3
326,12151,1
332,10815,1
333,812,1
334,9651,1
335,8280,2
337,12573,1
338,8197,1
344,14077,2
348,14517,1
349,13533,2
353,9303,2
353,13556,2
364,10216,4
365,7563,1
367,8632,1
377,12645,1
378,10797,1
378,13020,1
381,3510,1
383,13941,1
390,13221,1
393,7973,2
398,14989,1
401,6839,1
404,1006,2
406,10920,1
408,12146,1
409,5280,1
411,7887,2
412,8912,1
418,13504,3
421,10448,4
421,8364,1
424,11720,1
426,7861,1
431,12789,1
436,9354,1
437,7834,3
442,10207,1
443,10189,1
443,13578,1
450,14101,1
454,11955,1
456,5444,3
458,8978,1
459,13786,1
459,11521,1
464,12405,1
473,7829,4
474,14955,1
475,10273,1
475,14998,1
477,12830,1
479,11763,1
480,13574,1
486,12197,1
488,8619,1
495,13808,1
496,12378,1
497,8697,1
499,13410,2
501,2217,1
501,1872,1
504,7613,1
509,7875,1
509,8163,1
509,13090,2
510,14702,1
518,13562,1
520,8901,1
520,9818,1
520,14107,1
521,11118,2
522,10556,1
528,13267,1
530,12039,3
534,8235,5
536,13789,1
555,13065,2
559,12164,1
560,10308,1
563,8597,1
565,14163,1
566,11509,1
567,13787,1
568,14913,2
569,13101,1
570,12698,1
571,13831,1
571,10818,1
572,8504,9
574,9476,1
582,8329,1
584,2553,2
592,10774,2
593,13915,1
601,14691,1
603,8937,1
609,12599,2
612,4656,1
624,6043,1
628,14716,3
628,11984,1
632,8081,1
634,11157,1
639,13356,1
640,13102,1
646,13955,1
652,9813,1
656,8077,1
657,10033,2
659,8685,1
664,13697,1
677,14816,2
685,14082,2
691,5271,1
693,7579,1
695,8714,1
698,12311,1
706,10445,1
708,8334,1
709,12538,1
712,11452,1
720,12180,2
721,14626,1
721,10966,2
721,14749,1
724,8284,1
729,13337,1
730,10995,1
736,13162,1
738,13785,1
739,14424,1
740,11777,1
741,8532,1
742,14193,6
750,13310,1
755,11877,1
758,8798,1
761,9940,1
767,7788,2
773,12674,1
774,8387,1
777,12776,1
780,10246,1
783,10474,4
789,12916,2
791,13433,2
793,10382,1
