source,target,weight
2,11745,1
3,12104,1
8,11319,1
16,14091,5
17,7562,2
18,12083,1
21,11409,1
25,10536,2
26,14532,1
26,12143,1
34,14618,3
37,8698,1
41,10860,4
51,11119,2
54,10633,2
56,9546,2
58,9284,1
59,12091,1
61,8134,1
70,12408,2
73,10393,3
74,12444,1
75,13169,1
77,8852,3
82,14337,1
90,12728,4
91,9352,1
95,11562,4
97,11905,3
99,651,1
106,9399,1
109,3387,1
113,12217,9
115,501,2
115,3074,1
116,9997,1
118,8415,1
121,7802,1
122,7640,1
129,14932,1
136,142,1
146,13091,35
150,8281,2
157,14429,2
159,13399,1
160,13860,3
162,10981,1
164,10306,1
165,14773,1
176,13229,1
181,6469,1
194,12711,2
196,13469,1
197,11255,1
201,2546,1
203,8721,1
204,9739,2
205,13081,1
207,7764,1
209,14169,1
209,14941,2
210,9187,1
211,10103,1
214,7735,1
216,12184,2
227,12990,1
228,11560,3
230,11244,1
231,8300,2
232,401,1
237,13536,2
239,8374,1
244,14805,1
248,13810,3
253,8892,1
256,12040,1
259,11536,1
259,8230,1
262,13004,2
265,12101,1
271,14205,1
272,8307,1
273,8690,5
278,14075,1
282,13552,1
282,8400,1
282,12089,1
284,8668,1
285,11332,1
287,7765,1
289,14551,2
291,14942,1
293,12150,1
304,13803,1
311,7727,5
312,9407,1
315,7913,2
316,14471,1
318,10969,2
319,3478,1
324,9467,1
325,13594,2
326,7642,1
330,13347,1
332,13460,5
333,812,2
335,8578,1
335,8280,1
343,8900,1
345,9392,1
346,6118,1
350,14607,1
355,10203,1
356,10312,2
358,8675,1
370,10193,1
375,12803,1
376,1325,1
378,10797,1
379,13627,5
386,10138,1
390,14211,1
397,10230,4
398,10417,1
403,8565,1
407,14772,1
412,8912,1
417,11076,1
418,9382,1
420,8051,1
421,8364,2
422,12601,1
425,9849,1
426,7861,1
429,9478,1
430,7039,1
431,12789,1
432,12646,1
434,12579,1
435,9422,1
442,10207,1
443,8957,1
447,8713,1
447,11532,1
458,8978,1
461,11651,1
468,12572,1
474,14955,1
479,11763,2
482,10911,1
483,10277,1
484,8932,1
486,12197,6
487,7645,4
488,8619,2
491,8132,1
494,13551,1
500,14581,1
505,7895,1
506,12643,1
509,11266,2
509,13090,1
510,14702,1
518,13562,2
528,7756,1
529,13888,1
534,8235,1
